graph_id,node_id,label,train_mask,val_mask,test_mask,feat_feature_00,feat_feature_01,feat_feature_02,feat_feature_03,X,Y,Z
0,119,0,True,False,False,1.0,0.0,0.0,0.0,15.0,3.0,3.0
0,120,0,True,False,False,0.0,0.0,1.0,0.0,4.0,4.0,8.875
0,121,0,True,False,False,0.0,1.0,0.0,0.0,7.5,4.8,12.125
0,122,0,True,False,False,1.0,0.0,0.0,0.0,3.0,13.0,3.0
0,123,0,True,False,False,1.0,0.0,0.0,0.0,3.0,3.0,1.0
0,124,0,True,False,False,1.0,0.0,0.0,0.0,19.0,13.0,1.0
0,125,0,True,False,False,1.0,0.0,0.0,0.0,11.0,9.0,3.0
0,126,0,True,False,False,1.0,0.0,0.0,0.0,17.0,7.0,1.0
0,127,0,True,False,False,1.0,0.0,0.0,0.0,9.0,3.0,1.0
0,128,0,True,False,False,1.0,0.0,0.0,0.0,15.0,9.0,3.0
0,129,0,True,False,False,1.0,0.0,0.0,0.0,19.0,13.0,3.0
0,130,0,True,False,False,0.0,1.0,0.0,0.0,13.1,5.8,8.875
0,131,0,True,False,False,0.0,0.0,0.0,1.0,13.0,7.0,5.625
0,132,0,True,False,False,0.0,1.0,0.0,0.0,4.0,11.4,12.125
0,133,0,True,False,False,1.0,0.0,0.0,0.0,5.0,11.0,3.0
0,134,0,True,False,False,0.0,0.0,0.0,1.0,13.0,3.0,5.625
0,135,0,True,False,False,1.0,0.0,0.0,0.0,15.0,1.0,1.0
0,136,0,True,False,False,1.0,0.0,0.0,0.0,5.0,3.0,1.0
0,137,0,True,False,False,1.0,0.0,0.0,0.0,5.0,5.0,1.0
0,138,0,True,False,False,1.0,0.0,0.0,0.0,13.0,15.0,1.0
0,139,0,True,False,False,1.0,0.0,0.0,0.0,19.0,5.0,1.0
0,140,0,True,False,False,1.0,0.0,0.0,0.0,5.0,9.0,3.0
0,141,0,True,False,False,1.0,0.0,0.0,0.0,7.0,1.0,1.0
0,142,0,True,False,False,1.0,0.0,0.0,0.0,9.0,11.0,3.0
0,143,0,True,False,False,1.0,0.0,0.0,0.0,15.0,3.0,1.0
0,144,0,True,False,False,1.0,0.0,0.0,0.0,15.0,11.0,1.0
0,145,0,True,False,False,1.0,0.0,0.0,0.0,3.0,15.0,3.0
0,146,0,True,False,False,1.0,0.0,0.0,0.0,1.0,7.0,3.0
0,147,0,True,False,False,1.0,0.0,0.0,0.0,13.0,1.0,1.0
0,148,0,True,False,False,1.0,0.0,0.0,0.0,3.0,5.0,3.0
0,149,0,False,True,False,1.0,0.0,0.0,0.0,1.0,13.0,1.0
0,150,0,False,True,False,1.0,0.0,0.0,0.0,11.0,11.0,3.0
0,151,0,False,True,False,1.0,0.0,0.0,0.0,13.0,7.0,3.0
0,152,0,False,True,False,1.0,0.0,0.0,0.0,9.0,7.0,3.0
0,153,0,False,True,False,1.0,0.0,0.0,0.0,19.0,15.0,1.0
0,154,0,False,True,False,0.0,1.0,0.0,0.0,10.5,4.8,8.875
0,155,0,False,True,False,0.0,0.0,1.0,0.0,15.0,10.0,7.25
0,156,0,False,True,False,1.0,0.0,0.0,0.0,19.0,11.0,1.0
0,157,0,False,True,False,1.0,0.0,0.0,0.0,7.0,3.0,1.0
0,158,0,False,True,False,1.0,0.0,0.0,0.0,11.0,15.0,1.0
0,159,0,False,True,False,1.0,0.0,0.0,0.0,5.0,1.0,1.0
0,160,0,False,True,False,0.0,0.0,0.0,1.0,5.0,13.0,5.625
0,161,0,False,True,False,1.0,0.0,0.0,0.0,17.0,11.0,3.0
0,162,0,False,True,False,1.0,0.0,0.0,0.0,7.0,9.0,1.0
0,163,0,False,True,False,1.0,0.0,0.0,0.0,15.0,11.0,3.0
0,164,0,False,True,False,1.0,0.0,0.0,0.0,11.0,1.0,1.0
0,165,0,False,True,False,1.0,0.0,0.0,0.0,7.0,1.0,3.0
